timestamp_utc,scenario,config,users,run,duration_s,requests_total,errors,p50_ms,p95_ms,p99_ms,throughput_rps,energy_kwh,co2_kg,co2_per_req_mg
2026-06-02T10:38:46Z,s2,optimized,50,2,66.03426583600049,1596,0,1946.0,2085.0,2219.0,24.169,0.0008051709785095202,0.0003067298842632017,0.1922
2026-06-02T10:41:26Z,s5,optimized,80,1,63.56286002900015,42750,0,75.0,277.0,381.0,672.563,0.0007750315609753676,0.0002952482731535663,0.0069
2026-06-02T10:44:05Z,s5,optimized,10,3,63.36365090599975,43716,0,9.0,13.0,212.0,689.922,0.0007726077035984814,0.0002943249046858415,0.0067
2026-06-02T10:46:44Z,s2,optimized,80,2,67.16363487200033,1585,0,3146.0,3546.0,3677.0,23.599,0.0008189475852802095,0.0003119780826124958,0.1968
2026-06-02T10:49:26Z,s5,optimized,80,3,63.78902381899934,42327,0,75.0,278.0,377.0,663.547,0.0007777915733117336,0.0002962996998531049,0.0070
2026-06-02T10:52:05Z,s5,optimized,80,2,63.414463754999815,42472,0,76.0,305.0,380.0,669.753,0.0007732149292687628,0.0002945562273049352,0.0069
2026-06-02T10:54:43Z,s5,optimized,10,2,63.440403079001044,43417,0,9.0,14.0,213.0,684.375,0.000773537365124479,0.0002946790592441703,0.0068
2026-06-02T10:57:21Z,s1,optimized,80,3,73.00603703500019,483,0,11341.0,12428.0,13099.0,6.616,0.0008901869347529134,0.0003391167127941224,0.7021
2026-06-02T11:00:09Z,s4,optimized,10,1,63.360747499000354,5291,0,78.0,385.0,409.0,83.506,0.0007725757965340443,0.0002943127496896442,0.0556
2026-06-02T11:02:48Z,s2,optimized,50,3,66.57805777199974,1574,0,1970.0,2138.0,2239.0,23.641,0.0008118120697635467,0.0003092598079764231,0.1965
2026-06-02T11:05:29Z,s1,optimized,50,1,69.65025735400013,459,0,7034.0,8009.0,8433.0,6.590,0.0008492693151489774,0.0003235291456060029,0.7049
2026-06-02T11:08:15Z,s2,optimized,10,2,64.98754397599987,1626,0,303.0,623.0,683.0,25.020,0.0007924163878239307,0.00030187102294152644,0.1857
2026-06-02T11:10:54Z,s5,optimized,50,2,63.44561899600012,43540,0,46.0,247.0,350.0,686.257,0.0007735997104398118,0.0002947028096920463,0.0068
2026-06-02T11:13:33Z,s3,optimized,10,2,64.45097764899947,345,0,1750.0,1937.0,1990.0,5.353,0.0007858646748030397,0.00029937514786621797,0.8678
2026-06-02T11:16:12Z,s1,optimized,10,1,64.09176498600027,431,0,1353.0,1891.0,2144.0,6.725,0.0007814863687503548,0.0002977072321754477,0.6907
2026-06-02T11:18:51Z,s3,optimized,80,1,69.50633709300018,347,0,14802.0,16392.0,17248.0,4.992,0.0008475030692315818,0.0003228562942237711,0.9304
2026-06-02T11:21:37Z,s2,optimized,10,3,64.68974422499923,1540,0,309.0,667.0,735.0,23.806,0.0007887784560181814,0.0003004851528201262,0.1951
2026-06-02T11:24:16Z,s3,optimized,50,2,68.07451151799978,352,0,9010.0,10057.0,10378.0,5.171,0.0008300523113424169,0.0003162084280058937,0.8983
2026-06-02T11:26:59Z,s4,optimized,10,3,63.377315646999705,5317,0,77.0,385.0,406.0,83.894,0.000772778379540671,0.0002943899236860186,0.0554
2026-06-02T11:29:37Z,s4,optimized,10,2,63.37737769600062,5319,0,77.0,391.0,416.0,83.926,0.0007727785284944369,0.00029438998042995574,0.0553
2026-06-02T11:32:15Z,s1,optimized,10,2,63.843288446998486,431,0,1369.0,1873.0,2153.0,6.751,0.0007784542045446422,0.00029655212922128146,0.6881
2026-06-02T11:34:54Z,s3,optimized,50,3,69.0914212409989,361,0,8913.0,9928.0,10291.0,5.225,0.0008424541538968441,0.0003209329099270028,0.8890
2026-06-02T11:37:38Z,s4,optimized,80,2,64.27561136000077,5352,0,927.0,995.0,1022.0,83.266,0.000783738695207139,0.0002985652559391596,0.0558
2026-06-02T11:40:17Z,s3,optimized,10,3,64.4067716720001,344,0,1751.0,1951.0,2097.0,5.341,0.000785325486214113,0.00029916974397326636,0.8697
2026-06-02T11:42:56Z,s4,optimized,50,1,63.781520455000646,5340,0,657.0,736.0,763.0,83.723,0.0007777055896126189,0.00029626694436292716,0.0555
2026-06-02T11:45:34Z,s4,optimized,80,3,64.26644033299999,5386,0,924.0,1002.0,1039.0,83.807,0.0007836252204856959,0.0002985220277440259,0.0554
2026-06-02T11:48:13Z,s4,optimized,50,2,64.01118549100102,5335,0,656.0,736.0,768.0,83.345,0.0007805078518224991,0.00029733446615178103,0.0557
2026-06-02T11:50:52Z,s5,optimized,50,1,63.44039879999946,42481,0,46.0,345.0,362.0,669.621,0.0007735421136537209,0.000294680868196385,0.0069
2026-06-02T11:53:30Z,s1,optimized,50,2,69.71022743499998,461,0,7088.0,8096.0,8432.0,6.613,0.0008499964762334342,0.00032380615762112676,0.7024
2026-06-02T11:56:16Z,s2,optimized,10,1,64.8654809790005,1563,0,322.0,658.0,743.0,24.096,0.0007909303120185473,0.0003013049023634656,0.1928
2026-06-02T11:58:56Z,s5,optimized,10,1,63.38924129800034,44005,0,9.0,14.0,309.0,694.203,0.0007729139150376333,0.00029444155593358643,0.0067
2026-06-02T12:01:34Z,s3,optimized,10,1,64.09445866399983,343,0,1763.0,1953.0,2022.0,5.351,0.0007815229490131697,0.000297721167426567,0.8680
2026-06-02T12:04:13Z,s1,optimized,80,2,73.81474698999955,496,0,11073.0,12038.0,12301.0,6.720,0.0009000509171231702,0.0003428743968780717,0.6913
2026-06-02T12:07:02Z,s3,optimized,80,2,69.44713108200085,348,0,14694.0,16391.0,17000.0,5.011,0.0008467920529361125,0.00032258543256601205,0.9270
2026-06-02T12:09:46Z,s3,optimized,50,1,68.01354050900045,356,0,8876.0,9965.0,10193.0,5.234,0.0008293055376901274,0.00031592394458305404,0.8874
2026-06-02T12:12:29Z,s4,optimized,50,3,63.823694419001185,5321,0,653.0,736.0,766.0,83.370,0.0007782199750987292,0.0002964628995138609,0.0557
2026-06-02T12:15:09Z,s2,optimized,80,1,67.4267293239991,1622,0,3091.0,3275.0,3483.0,24.056,0.0008221580273865455,0.0003132011005329045,0.1931
2026-06-02T12:17:51Z,s4,optimized,80,1,64.26175714700003,5317,0,929.0,997.0,1041.0,82.740,0.0007835695084540264,0.00029850080424556136,0.0561
2026-06-02T12:20:30Z,s5,optimized,50,3,63.50833781199981,43335,0,46.0,250.0,350.0,682.351,0.000774370230297544,0.0002949963392318494,0.0068
2026-06-02T12:23:10Z,s2,optimized,50,1,66.38004694499978,1563,0,1964.0,2149.0,2302.0,23.546,0.0008093442694545866,0.0003083196994487248,0.1973
2026-06-02T12:25:52Z,s2,optimized,80,3,67.53812641300101,1590,0,3141.0,3412.0,3554.0,23.542,0.000823514434604784,0.0003137178238626925,0.1973
2026-06-02T12:28:34Z,s3,optimized,80,3,69.080570746999,349,0,14731.0,15845.0,16285.0,5.052,0.0008423134345489559,0.00032087930289142477,0.9194
2026-06-02T12:31:18Z,s1,optimized,50,3,69.8207936559993,459,0,6843.0,11583.0,14082.0,6.574,0.0008513478313331555,0.0003243209563463656,0.7066
2026-06-02T12:34:03Z,s1,optimized,10,3,63.95642713300185,425,0,1374.0,1927.0,2120.0,6.645,0.0007798348805542109,0.0002970780977471266,0.6990
2026-06-02T12:36:41Z,s1,optimized,80,1,74.16624865799895,484,0,11549.0,12432.0,12763.0,6.526,0.0009043302899596263,0.0003445046239601196,0.7118
